id;entity;currency;alphabetic_code;numeric_code;minor_unit;symbol;activated
92;GREENLAND;Danish Krone;DKK;208;2;;false
93;GRENADA;East Caribbean Dollar;XCD;951;2;$;false
94;GUADELOUPE;Euro;EUR;978;2;€;false
95;GUAM;US Dollar;USD;840;2;$;false
96;GUATEMALA;Quetzal;GTQ;320;2;;false
97;GUERNSEY;Pound Sterling;GBP;826;2;£;false
98;GUINEA;Guinea Franc;GNF;324;0;;false
99;GUINEA-BISSAU;CFA Franc BCEAO;XOF;952;0;;false
100;GUYANA;Guyana Dollar;GYD;328;2;$;false
101;HAITI;Gourde;HTG;332;2;;false
102;HAITI;US Dollar;USD;840;2;$;false
103;HEARD ISLAND AND McDONALD ISLANDS;Australian Dollar;AUD;36;2;$;false
104;HOLY SEE (THE);Euro;EUR;978;2;€;false
105;HONDURAS;Lempira;HNL;340;2;;false
106;HONG KONG;Hong Kong Dollar;HKD;344;2;$;false
107;HUNGARY;Forint;HUF;348;2;;false
108;ICELAND;Iceland Krona;ISK;352;0;;false
109;INDIA;Indian Rupee;INR;356;2;;false
110;INDONESIA;Rupiah;IDR;360;2;;false
111;IRAN (ISLAMIC REPUBLIC OF);Iranian Rial;IRR;364;2;;false
112;IRAQ;Iraqi Dinar;IQD;368;3;;false
113;IRELAND;Euro;EUR;978;2;€;false
114;ISLE OF MAN;Pound Sterling;GBP;826;2;£;false
115;ISRAEL;New Israeli Sheqel;ILS;376;2;;false
116;ITALY;Euro;EUR;978;2;€;false
117;JAMAICA;Jamaican Dollar;JMD;388;2;$;false
118;JAPAN;Yen;JPY;392;0;;false
119;JERSEY;Pound Sterling;GBP;826;2;£;false
120;JORDAN;Jordanian Dinar;JOD;400;3;;false
121;KAZAKHSTAN;Tenge;KZT;398;2;;false
122;KENYA;Kenyan Shilling;KES;404;2;;false
123;KIRIBATI;Australian Dollar;AUD;36;2;$;false
124;KOREA (THE DEMOCRATIC PEOPLE’S REPUBLIC OF);North Korean Won;KPW;408;2;;false
125;KOREA (THE REPUBLIC OF);Won;KRW;410;0;;false
126;KUWAIT;Kuwaiti Dinar;KWD;414;3;;false
127;KYRGYZSTAN;Som;KGS;417;2;;false
128;LAO PEOPLE’S DEMOCRATIC REPUBLIC (THE);Kip;LAK;418;2;;false
129;LATVIA;Euro;EUR;978;2;€;false
130;LEBANON;Lebanese Pound;LBP;422;2;£;false
131;LESOTHO;Loti;LSL;426;2;;false
132;LESOTHO;Rand;ZAR;710;2;;false
133;LIBERIA;Liberian Dollar;LRD;430;2;$;false
134;LIBYA;Libyan Dinar;LYD;434;3;;false
135;LIECHTENSTEIN;Swiss Franc;CHF;756;2;;false
136;LITHUANIA;Euro;EUR;978;2;€;false
137;LUXEMBOURG;Euro;EUR;978;2;€;false
138;MACAO;Pataca;MOP;446;2;;false
139;MACEDONIA (THE FORMER YUGOSLAV REPUBLIC OF);Denar;MKD;807;2;;false
140;MADAGASCAR;Malagasy Ariary;MGA;969;2;;false
141;MALAWI;Malawi Kwacha;MWK;454;2;;false
142;MALAYSIA;Malaysian Ringgit;MYR;458;2;;false
143;MALDIVES;Rufiyaa;MVR;462;2;;false
144;MALI;CFA Franc BCEAO;XOF;952;0;;false
145;MALTA;Euro;EUR;978;2;€;false
146;MARSHALL ISLANDS (THE);US Dollar;USD;840;2;$;false
147;MARTINIQUE;Euro;EUR;978;2;€;false
148;MAURITANIA;Ouguiya;MRO;478;2;;false
149;MAURITIUS;Mauritius Rupee;MUR;480;2;;false
150;MAYOTTE;Euro;EUR;978;2;€;false
151;MEXICO;Mexican Peso;MXN;484;2;;false
152;MEXICO;Mexican Unidad de Inversion (UDI);MXV;979;2;;false
153;MICRONESIA (FEDERATED STATES OF);US Dollar;USD;840;2;$;false
154;MOLDOVA (THE REPUBLIC OF);Moldovan Leu;MDL;498;2;;false
155;MONACO;Euro;EUR;978;2;€;false
156;MONGOLIA;Tugrik;MNT;496;2;;false
157;MONTENEGRO;Euro;EUR;978;2;€;false
158;MONTSERRAT;East Caribbean Dollar;XCD;951;2;$;false
159;MOROCCO;Moroccan Dirham;MAD;504;2;;false
160;MOZAMBIQUE;Mozambique Metical;MZN;943;2;;false
161;MYANMAR;Kyat;MMK;104;2;;false
162;NAMIBIA;Namibia Dollar;NAD;516;2;$;false
163;NAMIBIA;Rand;ZAR;710;2;;false
164;NAURU;Australian Dollar;AUD;36;2;$;false
165;NEPAL;Nepalese Rupee;NPR;524;2;;false
166;NETHERLANDS (THE);Euro;EUR;978;2;€;false
167;NEW CALEDONIA;CFP Franc;XPF;953;0;;false
168;NEW ZEALAND;New Zealand Dollar;NZD;554;2;$;false
169;NICARAGUA;Cordoba Oro;NIO;558;2;;false
170;NIGER (THE);CFA Franc BCEAO;XOF;952;0;;false
171;NIGERIA;Naira;NGN;566;2;;false
172;NIUE;New Zealand Dollar;NZD;554;2;$;false
173;NORFOLK ISLAND;Australian Dollar;AUD;36;2;$;false
174;NORTHERN MARIANA ISLANDS (THE);US Dollar;USD;840;2;$;false
175;NORWAY;Norwegian Krone;NOK;578;2;;false
176;OMAN;Rial Omani;OMR;512;3;;false
